timestamp,open,high,low,close,volume
6/7/2019,186.51,191.92,185.77,190.15,30684393
6/10/2019,191.81,195.37,191.62,192.58,26220851
6/11/2019,194.86,196,193.6,194.81,26932882
6/12/2019,193.95,195.97,193.39,194.19,18253189
6/13/2019,194.7,196.79,193.6,194.15,21674625
6/14/2019,191.55,193.59,190.3,192.74,18761474
6/17/2019,192.9,194.96,192.17,193.89,14669144
6/18/2019,196.05,200.29,195.21,198.45,26551004
6/19/2019,199.68,199.88,197.31,197.87,21124235
6/20/2019,200.37,200.61,198.03,199.46,21513988
6/21/2019,198.8,200.85,198.15,198.78,47800589
6/24/2019,198.54,200.16,198.17,198.58,18220421
6/25/2019,198.43,199.26,195.29,195.57,21070334
6/26/2019,197.77,200.99,197.35,199.8,26067512
6/27/2019,200.29,201.57,199.57,199.74,20899717
6/28/2019,198.68,199.5,197.05,197.92,31110642
7/1/2019,203.17,204.49,200.65,201.55,27316739
7/2/2019,201.41,203.13,201.36,202.73,16935217
7/3/2019,203.28,204.44,202.69,204.41,11362045
7/5/2019,203.35,205.08,202.9,204.23,17265518
7/8/2019,200.81,201.4,198.41,200.02,25338628
7/9/2019,199.2,201.51,198.81,201.24,20578015
7/10/2019,201.85,203.73,201.56,203.23,17897138
7/11/2019,203.31,204.39,201.71,201.75,20191842
7/12/2019,202.45,204,202.2,203.3,17595212
7/15/2019,204.09,205.87,204,205.21,16947420
7/16/2019,204.59,206.11,203.5,204.5,16866816
7/17/2019,204.05,205.09,203.27,203.35,14107450
7/18/2019,204,205.88,203.7,205.66,18582161
7/19/2019,205.79,206.5,202.36,202.59,20929307
7/22/2019,203.65,207.23,203.61,207.22,22277932
7/23/2019,208.46,208.91,207.29,208.84,18355210
7/24/2019,207.67,209.15,207.17,208.67,14991567
7/25/2019,208.89,209.24,206.73,207.02,13909535
7/26/2019,207.48,209.73,207.14,207.74,17618874
7/29/2019,208.46,210.64,208.44,209.68,21673389
7/30/2019,208.76,210.16,207.31,208.78,33935718
7/31/2019,216.42,221.37,211.3,213.04,69281361
8/1/2019,213.9,218.03,206.74,208.43,54017922
8/2/2019,205.53,206.43,201.63,204.02,40862122
8/5/2019,197.99,198.65,192.58,193.34,52392969
8/6/2019,196.31,198.07,194.04,197,35824787
8/7/2019,195.41,199.56,193.82,199.04,33364400
8/8/2019,200.2,203.53,199.39,203.43,27009523
8/9/2019,201.3,202.76,199.29,200.99,24619746
8/12/2019,199.62,202.05,199.15,200.48,22481889
8/13/2019,201.02,212.14,200.48,208.97,47539786
8/14/2019,203.16,206.44,202.59,202.75,36547443
8/15/2019,203.46,205.14,199.67,201.74,27883363
8/16/2019,204.28,207.16,203.84,206.5,28813624
8/19/2019,210.62,212.73,210.03,210.35,24431915
8/20/2019,210.88,213.35,210.32,210.36,26919529
8/21/2019,212.99,213.65,211.6,212.64,21564747
8/22/2019,213.19,214.44,210.75,212.46,22267819
8/23/2019,209.43,212.05,201,202.64,46882843
8/26/2019,205.86,207.19,205.06,206.49,26066130
8/27/2019,207.86,208.55,203.53,204.16,25897344
8/28/2019,204.1,205.72,203.32,205.53,15957632
8/29/2019,208.5,209.32,206.66,209.01,21007652
8/30/2019,210.16,210.45,207.2,208.74,21162561
9/3/2019,206.43,206.98,204.22,205.7,20059574
9/4/2019,208.39,209.48,207.32,209.19,19216820
9/5/2019,212,213.97,211.51,213.28,23946984
9/6/2019,214.05,214.42,212.51,213.26,19362294
9/9/2019,214.84,216.44,211.07,214.17,27309401
9/10/2019,213.86,216.78,211.71,216.7,31777931
9/11/2019,218.07,223.71,217.73,223.59,44289646
9/12/2019,224.8,226.42,222.86,223.09,32226669
9/13/2019,220,220.79,217.02,218.75,39763296
9/16/2019,217.73,220.13,217.56,219.9,21158141
9/17/2019,219.96,220.82,219.12,220.7,18386468
9/18/2019,221.06,222.85,219.44,222.77,25643093
9/19/2019,222.01,223.76,220.37,220.96,22187876
9/20/2019,221.38,222.56,217.47,217.73,57977094
9/23/2019,218.95,219.84,217.65,218.72,19419648
9/24/2019,221.03,222.49,217.19,217.68,31434367
9/25/2019,218.55,221.5,217.14,221.03,22481006
9/26/2019,220,220.94,218.83,219.89,19088312
9/27/2019,220.54,220.96,217.28,218.82,25361285
9/30/2019,220.9,224.58,220.79,223.97,26318583
10/1/2019,225.07,228.22,224.2,224.59,36187163
10/2/2019,223.06,223.58,217.93,218.96,35767257
10/3/2019,218.43,220.96,215.13,220.82,30352686
10/4/2019,225.64,227.49,223.89,227.01,34755553
10/7/2019,226.27,229.93,225.84,227.06,30889269
10/8/2019,225.82,228.06,224.33,224.4,29282700
10/9/2019,227.03,227.79,225.64,227.03,19029424
10/10/2019,227.93,230.44,227.3,230.09,28962984
10/11/2019,232.95,237.64,232.31,236.21,41990210
10/14/2019,234.9,238.13,234.67,235.87,24413484
10/15/2019,236.39,237.65,234.88,235.32,23040483
10/16/2019,233.37,235.24,233.2,234.37,19286694
10/17/2019,235.09,236.15,233.52,235.28,17272897
10/18/2019,234.59,237.58,234.29,236.41,24248023
10/21/2019,237.52,240.99,237.32,240.51,21811567
10/22/2019,241.16,242.2,239.62,239.96,22684001
10/23/2019,242.1,243.24,241.22,243.18,19932545
10/24/2019,244.51,244.8,241.81,243.58,17916255
10/25/2019,243.16,246.73,242.88,246.58,18369296
10/28/2019,247.42,249.25,246.72,249.05,23655368
10/29/2019,248.97,249.75,242.57,243.29,35709867
10/30/2019,244.76,245.3,241.21,243.26,31130522
10/31/2019,247.24,249.17,237.26,248.76,34790520
11/1/2019,249.54,255.93,249.16,255.82,37781334
11/4/2019,257.33,257.85,255.38,257.5,25817952
11/5/2019,257.05,258.19,256.32,257.13,19974427
11/6/2019,256.77,257.49,255.37,257.24,18966124
11/7/2019,258.74,260.35,258.11,259.43,23735083
11/8/2019,258.69,260.44,256.85,260.14,17520495
11/11/2019,258.3,262.47,258.28,262.2,20507459
11/12/2019,261.55,262.79,260.92,261.96,21847226
11/13/2019,261.13,264.78,261.07,264.47,25817593
11/14/2019,263.75,264.88,262.1,262.64,22395556
11/15/2019,263.68,265.78,263.01,265.76,25093666
11/18/2019,265.8,267.43,264.23,267.1,21700897
11/19/2019,267.9,268,265.39,266.29,19069597
11/20/2019,265.54,266.08,260.4,263.19,26609919
11/21/2019,263.69,264.01,261.18,262.01,30348778
11/22/2019,262.59,263.18,260.84,261.78,16331263
11/25/2019,262.71,266.44,262.52,266.37,21029517
11/26/2019,266.94,267.16,262.5,264.29,26334882
11/27/2019,265.58,267.98,265.31,267.84,16386122
11/29/2019,266.6,268,265.9,267.25,11654363
12/2/2019,267.27,268.25,263.45,264.16,23693550
12/3/2019,258.31,259.53,256.29,259.45,29377268
12/4/2019,261.07,263.31,260.68,261.74,16810388
12/5/2019,263.79,265.89,262.73,265.58,18661343
12/6/2019,267.48,271,267.3,270.71,26547493
12/9/2019,270,270.8,264.91,266.92,32182645
12/10/2019,268.6,270.07,265.86,268.48,22632383
12/11/2019,268.81,271.1,268.5,270.77,19723391
12/12/2019,267.78,272.56,267.32,271.46,34437042
12/13/2019,271.46,275.3,270.93,275.15,33432806
12/16/2019,277,280.79,276.98,279.86,32081105
12/17/2019,279.57,281.77,278.8,280.41,28575798
12/18/2019,279.8,281.9,279.12,279.74,29024687
12/19/2019,279.5,281.18,278.95,280.02,24626947
12/20/2019,282.23,282.65,278.56,279.44,69032743
12/23/2019,280.53,284.25,280.37,284,24677883
12/24/2019,284.69,284.89,282.92,284.27,12119714
12/26/2019,284.82,289.98,284.7,289.91,23334004
12/27/2019,291.12,293.97,288.12,289.8,36592936
12/30/2019,289.46,292.69,285.22,291.52,36059614
12/31/2019,289.93,293.68,289.52,293.65,25247625
1/2/2020,296.24,300.6,295.19,300.35,33911864
1/3/2020,297.15,300.58,296.5,297.43,36633878
1/6/2020,293.79,299.96,292.75,299.8,29644644
1/7/2020,299.84,300.9,297.48,298.39,27877655
1/8/2020,297.16,304.44,297.16,303.19,33090946
1/9/2020,307.24,310.43,306.2,309.63,42621542
